# f2f62a28-87c4-42da-93ad-ee2c472ad136
# 216c0333e5fcb3f8600ca28e6aa7276b99a75135
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; -38.9613625; 25.7847541; 1.6279158; 0.1744038; 7.0604680; 1.1947286
0.1998176; -39.1606157; 25.7698792; 1.6626745; 0.1734350; 7.0941994; 1.1591503
0.3996352; -39.3592376; 25.7481411; 1.6967454; 0.1675908; 7.1267736; 1.3746073
0.5994527; -39.5570245; 25.7197879; 1.7293027; 0.1583341; 7.1652106; 1.7565580
0.7992703; -39.7538114; 25.6851654; 1.7604347; 0.1532257; 7.2140298; 1.9096975
0.9990879; -39.9494529; 25.6445623; 1.7901133; 0.1438777; 7.2667330; 2.2846827
1.1989055; -40.1438467; 25.5983509; 1.8179539; 0.1347837; 7.3292870; 2.6397919
1.3987230; -40.3369270; 25.5469231; 1.8439479; 0.1254104; 7.4009054; 3.0086556
1.5985406; -40.5286588; 25.4906731; 1.8680771; 0.1161118; 7.4816954; 3.3756794
1.7983582; -40.7190346; 25.4299899; 1.8903542; 0.1068721; 7.5713147; 3.7456994
1.9981758; -40.9080717; 25.3652548; 1.9107932; 0.0977116; 7.6695319; 4.1212162
2.1979933; -41.0958093; 25.2968409; 1.9294087; 0.0886200; 7.7761624; 4.5063702
2.3978109; -41.2823066; 25.2251130; 1.9462141; 0.0795931; 7.8911093; 4.3299352
2.5976285; -41.4676398; 25.1504278; 1.9612220; 0.0706273; 8.0000000; 0.0000000
2.7974461; -41.6519009; 25.0731340; 1.9744446; 0.0617229; 8.0000000; 0.0000000
2.9972637; -41.8351950; 24.9935733; 1.9858938; 0.0528781; 8.0000000; 0.0000000
3.1970812; -42.0176383; 24.9120798; 1.9955824; 0.0440999; 8.0000000; 0.0000000
3.3968988; -42.1993566; 24.8289815; 2.0035223; 0.0353760; 8.0000000; 0.0000000
3.5967164; -42.3804829; 24.7446002; 2.0097290; 0.0267528; 8.0000000; 0.0000000
3.7965340; -42.5611553; 24.6592509; 2.0142280; 0.0182735; 8.0000000; 0.0000000
3.9963515; -42.7415156; 24.5732437; 2.0170096; 0.0095746; 8.0000000; 0.0000000
4.1961691; -42.9217105; 24.4868906; 2.0180723; 0.0010583; 8.0000000; 0.0000000
4.3959867; -43.1018876; 24.4005001; 2.0174190; -0.0076130; 8.0000000; 0.0000000
4.5958043; -43.2821973; 24.3143867; 2.0149805; -0.0167933; 8.0000000; 0.0000000
4.7956218; -43.4627948; 24.2288786; 2.0107104; -0.0259955; 8.0000000; 0.0000000
4.9954394; -43.6438376; 24.1443185; 2.0044491; -0.0362814; 8.0000000; 0.0000000
5.1952570; -43.8254563; 24.0610032; 1.9974051; -0.0338158; 8.0000000; 0.0000000
5.3950746; -44.0076023; 23.9788457; 1.9921440; -0.0188819; 8.0000000; 0.0000000
5.5948922; -44.1900599; 23.8973827; 1.9897467; -0.0051023; 8.0000000; -1.2468678
5.7947097; -44.3725997; 23.8161039; 1.9901363; 0.0089935; 7.9687959; -8.7626230
5.9945273; -44.5549938; 23.7344985; 1.9933183; 0.0228538; 7.7459574; -8.0447547
6.1943449; -44.7370133; 23.6520614; 1.9992646; 0.0366633; 7.5355749; -7.4020218
6.3941625; -44.9184237; 23.5682930; 2.0079729; 0.0504963; 7.3366737; -6.8333042
6.5939800; -45.0989795; 23.4826994; 2.0194321; 0.0642063; 7.1481433; -6.3175949
6.7937976; -45.2784216; 23.3947960; 2.0336431; 0.0780454; 6.9693055; -5.8445739
6.9936152; -45.4564699; 23.3041044; 2.0506418; 0.0921060; 6.7996707; -5.4148866
7.1934328; -45.6328181; 23.2101514; 2.0704597; 0.1062688; 6.6386401; -5.0207213
7.3932503; -45.8071303; 23.1124750; 2.0931242; 0.1206016; 6.4857603; -4.6566688
7.5930679; -45.9790368; 23.0106265; 2.1186725; 0.1351359; 6.3406717; -4.3188959
7.7928855; -46.1481292; 22.9041738; 2.1471450; 0.1498758; 6.2030746; -4.0031684
7.9927031; -46.3139565; 22.7927057; 2.1785849; 0.1648421; 6.0727529; -3.7057898
8.1925207; -46.4760210; 22.6758373; 2.2130391; 0.1800466; 5.9495684; -3.4257959
8.3923382; -46.6337753; 22.5532160; 2.2505472; 0.1954290; 5.8333777; -3.1508711
8.5921558; -46.7866194; 22.4245293; 2.2911738; 0.2112426; 5.7244298; -2.8948122
8.7919734; -46.9338961; 22.2895099; 2.3349562; 0.2269916; 5.6224753; -2.6762924
8.9917910; -47.0749018; 22.1479579; 2.3817971; 0.2420168; 5.5265439; -2.3872303
9.1916085; -47.2088883; 21.9997484; 2.4318898; 0.2595175; 5.4395465; -2.0410978
9.3914261; -47.3350022; 21.8447883; 2.4856918; 0.2788412; 5.3640444; -1.8118950
9.5912437; -47.4523085; 21.6830643; 2.5429320; 0.2941536; 5.2961189; -1.5601105
9.7910613; -47.5599129; 21.5147344; 2.6031970; 0.3099707; 5.2369266; -0.8444304
9.9908788; -47.6568185; 21.3400279; 2.6681420; 0.3402252; 5.2046072; -0.0603743
10.1906964; -47.7416191; 21.1591419; 2.7393521; 0.3694971; 5.2022888; -0.0603743
10.3905140; -47.8131216; 20.9726010; 2.8110696; 0.3484087; 5.1999693; 0.5188190
10.5903316; -47.8714911; 20.7815361; 2.8783754; 0.3261007; 5.2198677; 1.0539441
10.7901492; -47.9172456; 20.5870610; 2.9422514; 0.3133448; 5.2600582; 1.2685857
