# 34b3931a-942b-4c7b-b452-e2dc58948a1f
# 216c0333e5fcb3f8600ca28e6aa7276b99a75135
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; -38.9218903; 25.3638191; 1.6047465; 0.2173106; 6.7835888; -0.1026556
0.1998504; -39.1214271; 25.3528765; 1.6455397; 0.1910052; 6.7805638; 1.1157741
0.3997009; -39.3203938; 25.3342251; 1.6826324; 0.1802673; 6.8133707; 1.5280681
0.5995513; -39.5185652; 25.3084503; 1.7171220; 0.1649142; 6.8580457; 2.1387044
0.7994017; -39.7157717; 25.2761030; 1.7494100; 0.1582728; 6.9200891; 2.3138609
0.9992522; -39.9118597; 25.2375471; 1.7801998; 0.1498733; 6.9865932; 2.5754201
1.1991026; -40.1067059; 25.1931356; 1.8093225; 0.1415983; 7.0598784; 2.8312869
1.3989530; -40.3002194; 25.1432335; 1.8367219; 0.1326135; 7.1395764; 3.1265075
1.5988035; -40.4923441; 25.0882228; 1.8622962; 0.1233341; 7.2265634; 3.4425977
1.7986539; -40.6830558; 25.0284952; 1.8859912; 0.1138012; 7.3211493; 3.7807723
1.9985043; -40.8723610; 24.9644469; 1.9077673; 0.1041288; 7.4236383; 4.1384794
2.1983547; -41.0602933; 24.8964738; 1.9276011; 0.0943615; 7.5342259; 4.5169775
2.3982052; -41.2469112; 24.8249691; 1.9454762; 0.0845243; 7.6531039; 4.9187532
2.5980556; -41.4322953; 24.7503226; 1.9613791; 0.0746245; 7.7804903; 5.1649553
2.7979060; -41.6165461; 24.6729199; 1.9752974; 0.0646608; 7.9120456; 3.5014534
2.9977565; -41.7997819; 24.5931430; 1.9872175; 0.0546282; 8.0000000; 0.0000000
3.1976069; -41.9821364; 24.5113707; 1.9971253; 0.0445212; 8.0000000; 0.0000000
3.3974573; -42.1637565; 24.4279794; 2.0050056; 0.0343380; 8.0000000; 0.0000000
3.5973078; -42.3448005; 24.3433441; 2.0108424; 0.0240718; 8.0000000; 0.0000000
3.7971582; -42.5254356; 24.2578391; 2.0146216; 0.0137462; 8.0000000; 0.0000000
3.9970086; -42.7058354; 24.1718386; 2.0163281; 0.0033303; 8.0000000; 0.0000000
4.1968591; -42.8861779; 24.0857181; 2.0159523; -0.0070916; 8.0000000; 0.0000000
4.3967095; -43.0666422; 23.9998532; 2.0134962; -0.0174868; 8.0000000; 0.0000000
4.5965599; -43.2474067; 23.9146222; 2.0089173; -0.0283452; 8.0000000; 0.0000000
4.7964104; -43.4286441; 23.8304017; 2.0024168; -0.0366585; 8.0000000; 0.0000000
4.9962608; -43.6104626; 23.7474434; 1.9954087; -0.0332464; 8.0000000; 0.0000000
5.1961112; -43.7927976; 23.6656260; 1.9902848; -0.0177932; 8.0000000; 0.0000000
5.3959616; -43.9754260; 23.5844658; 1.9881573; -0.0035267; 8.0000000; -8.3488581
5.5958121; -44.1581084; 23.5034268; 1.9890013; 0.0119985; 7.7886426; -8.5703438
5.7956625; -44.3405967; 23.4219520; 1.9929199; 0.0272085; 7.5655390; -7.8170816
5.9955129; -44.5226386; 23.3394853; 1.9998924; 0.0425709; 7.3561461; -7.1449954
6.1953634; -44.7039719; 23.2554729; 2.0099351; 0.0579306; 7.1594012; -6.5407163
6.3952138; -44.8843198; 23.1693668; 2.0230529; 0.0733470; 6.9744315; -5.9957258
6.5950642; -45.0633854; 23.0806265; 2.0392568; 0.0888168; 6.8004558; -5.5023651
6.7949147; -45.2408469; 22.9887221; 2.0585574; 0.1043410; 6.6367837; -5.0439050
6.9947651; -45.4163517; 22.8931365; 2.0809878; 0.1201465; 6.4831200; -4.6251297
