# 479846e1-d655-4929-9a7a-0237d84ebef3
# 216c0333e5fcb3f8600ca28e6aa7276b99a75135
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; -38.9985164; 26.1605997; 1.6218273; 0.1603921; 7.4875577; 0.8827853
0.1999203; -39.1979814; 26.1472379; 1.6533652; 0.1550931; 7.5110914; 1.1243391
0.3998407; -39.3969358; 26.1276886; 1.6839931; 0.1513111; 7.5409581; 1.2686761
0.5997610; -39.5952086; 26.1021332; 1.7138289; 0.1471728; 7.5745177; 1.4282205
0.7996813; -39.7926454; 26.0707635; 1.7427235; 0.1418845; 7.6121205; 1.6493251
0.9996016; -39.9891191; 26.0338349; 1.7701283; 0.1323303; 7.6553149; 2.1142008
1.1995220; -40.1845392; 25.9916820; 1.7962520; 0.1289850; 7.7103300; 2.1993261
1.3994423; -40.3788157; 25.9445361; 1.8212093; 0.1207152; 7.7671468; 2.5828443
1.5993626; -40.5718963; 25.8927075; 1.8446471; 0.1137616; 7.8333451; 2.8825568
1.7992830; -40.7637501; 25.8365056; 1.8666285; 0.1061512; 7.9065706; 3.2246196
1.9992033; -40.9543686; 25.7762450; 1.8870929; 0.0985812; 7.9876901; 0.4922135
2.1991236; -41.1437632; 25.7122400; 1.9060356; 0.0909296; 8.0000000; 0.0000000
2.3990440; -41.3319633; 25.6448022; 1.9234590; 0.0833747; 8.0000000; 0.0000000
2.5989643; -41.5190143; 25.5742386; 1.9393429; 0.0755365; 8.0000000; 0.0000000
2.7988846; -41.7049780; 25.5008563; 1.9536950; 0.0680475; 8.0000000; 0.0000000
2.9988049; -41.8899260; 25.4249496; 1.9665713; 0.0607661; 8.0000000; 0.0000000
3.1987253; -42.0739390; 25.3468028; 1.9779727; 0.0532951; 8.0000000; 0.0000000
3.3986456; -42.2571092; 25.2666997; 1.9878823; 0.0458425; 8.0000000; 0.0000000
3.5985659; -42.4395376; 25.1849208; 1.9963093; 0.0384619; 8.0000000; 0.0000000
3.7984863; -42.6213319; 25.1017415; 2.0032600; 0.0310752; 8.0000000; 0.0000000
3.9984066; -42.8026057; 25.0174333; 2.0087515; 0.0238598; 8.0000000; 0.0000000
4.1983269; -42.9834757; 24.9322621; 2.0127882; 0.0165302; 8.0000000; 0.0000000
4.3982473; -43.1640622; 24.8464914; 2.0153990; 0.0095867; 8.0000000; 0.0000000
