# 6067d61e-0174-4048-8b60-43778c715f56
# 216c0333e5fcb3f8600ca28e6aa7276b99a75135
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; -70.3561797; 54.1086540; 1.6440316; 0.0219471; 8.0000000; 0.0000000
0.1999786; -70.5555897; 54.0935861; 1.6483892; 0.0216343; 8.0000000; 0.0000000
0.3999573; -70.7549326; 54.0776552; 1.6526904; 0.0213825; 8.0000000; 0.0000000
0.5999359; -70.9542056; 54.0608721; 1.6569397; 0.0211151; 8.0000000; 0.0000000
0.7999146; -71.1534060; 54.0432479; 1.6611338; 0.0208299; 8.0000000; -1.7443054
0.9998932; -71.3525312; 54.0247941; 1.6652686; 0.0205232; 7.9562775; -8.8414258
1.1998719; -71.5515791; 54.0055235; 1.6693391; 0.0201863; 7.7308576; -8.9262542
1.3998505; -71.7505476; 53.9854498; 1.6733385; 0.0198112; 7.4964017; -9.0114501
1.5998292; -71.9494350; 53.9645883; 1.6772584; 0.0193926; 7.2520234; -9.0968347
1.7998078; -72.1482400; 53.9429560; 1.6810880; 0.0189074; 6.9966777; -9.1826667
1.9997865; -72.3469605; 53.9205600; 1.6850059; 0.0202811; 6.7291028; -8.8497179
2.1997651; -72.5455822; 53.8973047; 1.6900095; 0.0297882; 6.4607519; -8.4952498
2.3997438; -72.7440599; 53.8728526; 1.6971345; 0.0414747; 6.1922191; -8.0214183
2.5997224; -72.9423227; 53.8467196; 1.7071358; 0.0585439; 5.9275082; -6.7711860
2.7997011; -73.1402398; 53.8180952; 1.7231659; 0.1018021; 5.6944857; -5.5769238
2.9996797; -73.3375262; 53.7854242; 1.7482158; 0.1487066; 5.4951466; -4.8588119
3.1996584; -73.5337644; 53.7469760; 1.7815095; 0.1841984; 5.3153851; -4.3552654
3.3996370; -73.7284562; 53.7013566; 1.8214419; 0.2151481; 5.1489221; -4.0035390
3.5996157; -73.9210069; 53.6474264; 1.8672475; 0.2429544; 4.9910073; -3.6924806
3.7995943; -74.1107060; 53.5842068; 1.9186680; 0.2713997; 4.8407974; -3.3765146
3.9995730; -74.2966871; 53.5107799; 1.9759969; 0.3021687; 4.6992401; -3.0387670
4.1995516; -74.4778811; 53.4262447; 2.0397751; 0.3358232; 4.5680938; -2.7831973
4.3995302; -74.6529984; 53.3297584; 2.1100639; 0.3675586; 4.4445833; -2.3557427
4.5995089; -74.8205220; 53.2206355; 2.1876074; 0.4085782; 4.3372946; -2.1564928
4.7994875; -74.9786170; 53.0982671; 2.2723789; 0.4392043; 4.2366991; -1.6483114
4.9994662; -75.1253105; 52.9624459; 2.3646355; 0.4852564; 4.1581685; -1.2204353
5.1994448; -75.2581865; 52.8131015; 2.4656180; 0.5247542; 4.0990539; -0.4085854
5.3994235; -75.3746236; 52.6506320; 2.5757299; 0.5786786; 4.0790718; -0.0370851
5.5994021; -75.4716986; 52.4759120; 2.6938507; 0.6015402; 4.0772532; -0.0370851
