# 718cc609-389f-425d-bc7e-bde10aa682bd
# 216c0333e5fcb3f8600ca28e6aa7276b99a75135
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; -37.5024238; 25.4544607; 1.5284013; 0.1711047; 7.0537949; -1.5949674
0.1998651; -37.7022156; 25.4595062; 1.5627438; 0.1725828; 7.0084568; -1.6298081
0.3997302; -37.9020623; 25.4576591; 1.5973843; 0.1740923; 6.9618232; -1.6683711
0.5995953; -38.1017236; 25.4488594; 1.6323584; 0.1759165; 6.9137605; -1.6958345
0.7994604; -38.3009519; 25.4330465; 1.6677079; 0.1778533; 6.8645618; -1.7227277
0.9993255; -38.4994920; 25.4101625; 1.7034671; 0.1800147; 6.8142191; -1.7436050
1.1991906; -38.6970801; 25.3801511; 1.7396769; 0.1823658; 6.7628848; -1.7603718
1.3990557; -38.8934428; 25.3429588; 1.7763782; 0.1849325; 6.7106584; -1.7719564
1.5989208; -39.0882965; 25.2985351; 1.8136148; 0.1877235; 6.6576747; -1.7780997
1.7987858; -39.2813461; 25.2468330; 1.8514320; 0.1907443; 6.6040799; -1.7707232
1.9986509; -39.4722842; 25.1878099; 1.8898791; 0.1940284; 6.5502718; -1.7568730
2.1985160; -39.6607894; 25.1214280; 1.9290057; 0.1975481; 6.4964440; -1.7321396
2.3983811; -39.8465266; 25.0476561; 1.9688695; 0.2014017; 6.4429339; -1.6995863
2.5982462; -40.0291434; 24.9664691; 2.0095271; 0.2055128; 6.3899938; -1.6501078
2.7981113; -40.2082708; 24.8778506; 2.0510519; 0.2100822; 6.3381719; -1.5772116
2.9979764; -40.3835188; 24.7817892; 2.0935496; 0.2152397; 6.2882401; -1.4904554
3.1978415; -40.5544716; 24.6782799; 2.1371097; 0.2207258; 6.2406878; -1.3795719
3.3977066; -40.7206913; 24.5673308; 2.1818205; 0.2267520; 6.1963479; -1.2471293
3.5975717; -40.8817119; 24.4489648; 2.2277782; 0.2332004; 6.1559899; -1.0878712
3.7974368; -41.0370408; 24.3232245; 2.2750704; 0.2401327; 6.1205684; -0.8928520
3.9973019; -41.1861556; 24.1901764; 2.3238098; 0.2476770; 6.0913428; -0.6662290
4.1971670; -41.3285019; 24.0499123; 2.3741111; 0.2556033; 6.0694436; -0.4212545
4.3970321; -41.4635044; 23.9025623; 2.4259362; 0.2634473; 6.0555559; -0.0817306
4.5968972; -41.5905543; 23.7482975; 2.4796945; 0.2729475; 6.0528578; -0.0817306
4.7967623; -41.7090486; 23.5873713; 2.5340180; 0.2687165; 6.0501584; 0.0821313
4.9966273; -41.8187971; 23.4203597; 2.5857860; 0.2499631; 6.0528710; 0.7603099
5.1964924; -41.9200511; 23.2480599; 2.6343412; 0.2361796; 6.0779245; 1.1928400
5.3963575; -42.0130564; 23.0711704; 2.6803213; 0.2241757; 6.1170238; 1.5283244
5.5962226; -42.0980393; 22.8902886; 2.7240827; 0.2137874; 6.1667575; 1.7850673
5.7960877; -42.1752184; 22.7059412; 2.7657835; 0.2035898; 6.2243428; 2.0260048
5.9959528; -42.2448332; 22.5186051; 2.8055004; 0.1939182; 6.2890618; 2.2418576
6.1958179; -42.3071356; 22.3287104; 2.8433307; 0.1847097; 6.3599085; 2.4385497
6.3956830; -42.3623853; 22.1366445; 2.8793658; 0.1759183; 6.4360856; 2.6204943
6.5955481; -42.4108493; 21.9427543; 2.9136566; 0.1672491; 6.5169540; 2.8020695
6.7954132; -42.4528059; 21.7473516; 2.9462305; 0.1587331; 6.6023299; 2.9834604
6.9952783; -42.4885432; 21.5507157; 2.9771114; 0.1503025; 6.6920356; 3.1690489
7.1951434; -42.5183582; 21.3530943; 3.0063168; 0.1419661; 6.7860227; 3.3597176
7.3950085; -42.5425544; 21.1547059; 3.0338643; 0.1337087; 6.8842636; 3.5574062
7.5948736; -42.5614408; 20.9557411; 3.0597696; 0.1255322; 6.9867795; 3.7632378
7.7947387; -42.5753295; 20.7563645; 3.0840485; 0.1174332; 7.0936145; 3.9785822
7.9946038; -42.5845351; 20.5567163; 3.1067166; 0.1094114; 7.2048405; 4.2046828
8.1944688; -42.5893728; 20.3569141; 3.1277890; 0.1014651; 7.3205509; 4.4428868
8.3943339; -42.5901575; 20.1570543; -3.1359046; 0.0935938; 7.4408616; 4.6945326
8.5941990; -42.5872035; 19.9572144; -3.1179787; 0.0857956; 7.5659083; 4.9611091
8.7940641; -42.5808229; 19.7574541; -3.1016039; 0.0780716; 7.6958478; 5.1678776
8.9939292; -42.5713260; 19.5578173; -3.0867664; 0.0704149; 7.8289099; 5.1632693
9.1937943; -42.5590201; 19.3583337; -3.0734500; 0.0628440; 7.9596322; 1.6117269
9.3936594; -42.5442096; 19.1590198; -3.0616434; 0.0553058; 8.0000000; 0.0000000
9.5935245; -42.5271966; 18.9598818; -3.0513398; 0.0478493; 8.0000000; 0.0000000
9.7933896; -42.5082785; 18.7609155; -3.0424882; 0.0407548; 8.0000000; 0.0000000
9.9932547; -42.4877393; 18.5621094; -3.0350326; 0.0338505; 8.0000000; 0.0000000
10.1931198; -42.4658557; 18.3634466; -3.0289580; 0.0269487; 8.0000000; 0.0000000
10.3929849; -42.4429019; 18.1649044; -3.0242544; 0.0201045; 8.0000000; 0.0000000
10.5928500; -42.4191510; 17.9664556; -3.0209289; 0.0132136; 8.0000000; 0.0000000
10.7927151; -42.3948749; 17.7680704; -3.0189513; 0.0065702; 8.0000000; 0.0000000
10.9925802; -42.3703385; 17.5697169; -3.0183060; -0.0001198; 8.0000000; 0.0000000
11.1924453; -42.3458070; 17.3713626; -3.0190029; -0.0068481; 8.0000000; 0.0000000
11.3923104; -42.3215469; 17.1729751; -3.0210404; -0.0135393; 8.0000000; 0.0000000
11.5921754; -42.2978236; 16.9745225; -3.0244144; -0.0202201; 8.0000000; 0.0000000
11.7920405; -42.2749025; 16.7759758; -3.0291217; -0.0268827; 8.0000000; 0.0000000
11.9919056; -42.2530485; 16.5773087; -3.0351598; -0.0335456; 8.0000000; 0.0000000
12.1917707; -42.2325271; 16.3784997; -3.0425340; -0.0402177; 8.0000000; 0.0000000
12.3916358; -42.2136037; 16.1795327; -3.0512220; -0.0467582; 8.0000000; 0.0000000
12.5915009; -42.1965416; 15.9803971; -3.0612449; -0.0535446; 8.0000000; 0.0000000
12.7913660; -42.1816117; 15.7810910; -3.0726283; -0.0603530; 8.0000000; 0.0000000
12.9912311; -42.1690866; 15.5816195; -3.0853628; -0.0670833; 8.0000000; 0.0000000
13.1910962; -42.1592371; 15.3819983; -3.0994465; -0.0738512; 8.0000000; -0.7751709
13.3909613; -42.1523352; 15.1822538; -3.1148846; -0.0806368; 7.9806103; -4.7343021
