# b0de7539-ed6c-41bd-91b5-1b0d5c4d712d
# 216c0333e5fcb3f8600ca28e6aa7276b99a75135
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; -37.4871881; 26.2166856; 1.5271439; 0.1567522; 7.4219139; -1.4851411
0.1999504; -37.6870522; 26.2222743; 1.5585663; 0.1575778; 7.3817949; -1.5317277
0.3999007; -37.8869930; 26.2215643; 1.5901561; 0.1584263; 7.3401878; -1.5819725
0.5998511; -38.0868110; 26.2145207; 1.6219465; 0.1595861; 7.2969669; -1.6189239
0.7998015; -38.2863024; 26.2011060; 1.6539736; 0.1607931; 7.2524697; -1.6576642
0.9997518; -38.4852592; 26.1812849; 1.6862603; 0.1621836; 7.2066230; -1.6907515
1.1997022; -38.6834686; 26.1550231; 1.7188388; 0.1637125; 7.1595588; -1.7208006
1.3996526; -38.8807121; 26.1222879; 1.7517392; 0.1654044; 7.1113384; -1.7466146
1.5996029; -39.0767650; 26.0830480; 1.7849938; 0.1672556; 7.0620578; -1.7688701
1.7995533; -39.2713957; 26.0372737; 1.8186446; 0.1693689; 7.0117964; -1.7823527
1.9995037; -39.4643644; 25.9849347; 1.8527451; 0.1717546; 6.9607848; -1.7831138
2.1994540; -39.6554217; 25.9260002; 1.8873434; 0.1743502; 6.9093745; -1.7753295
2.3994044; -39.8443084; 25.8604420; 1.9224776; 0.1771140; 6.8578058; -1.7637141
2.5993548; -40.0307550; 25.7882370; 1.9581792; 0.1800275; 6.8061876; -1.7439307
2.7993051; -40.2144816; 25.7093682; 1.9944869; 0.1831787; 6.7547606; -1.7209079
2.9992555; -40.3951966; 25.6238245; 2.0314379; 0.1864620; 6.7036258; -1.6856366
3.1992059; -40.5725963; 25.5316033; 2.0690770; 0.1900644; 6.6531580; -1.6299333
3.3991562; -40.7463625; 25.4327067; 2.1074844; 0.1941489; 6.6039912; -1.5606495
3.5991066; -40.9161585; 25.3271399; 2.1467397; 0.1985469; 6.5565688; -1.4762966
3.7990569; -41.0816297; 25.2149165; 2.1869066; 0.2032700; 6.5113917; -1.3753492
3.9990073; -41.2424030; 25.0960617; 2.2280509; 0.2083244; 6.4690200; -1.2548787
4.1989577; -41.3980860; 24.9706143; 2.2702416; 0.2137395; 6.4301160; -1.1113286
4.3989080; -41.5482656; 24.8386295; 2.3135539; 0.2195473; 6.3954649; -0.9404144
4.5988584; -41.6925066; 24.7001807; 2.3580699; 0.2257813; 6.3659955; -0.7355082
4.7988088; -41.8303502; 24.5553626; 2.4038813; 0.2325088; 6.3428518; -0.4900206
4.9987591; -41.9613125; 24.4042944; 2.4510882; 0.2397677; 6.3273856; -0.0892329
5.1987095; -42.0848691; 24.2471131; 2.5000552; 0.2499992; 6.3245652; -0.0892329
5.3986599; -42.2004727; 24.0839944; 2.5500396; 0.2499431; 6.3217435; -0.0779877
5.5986102; -42.3078638; 23.9153541; 2.5985858; 0.2357618; 6.3192763; 0.4961792
5.7985606; -42.4071861; 23.7418366; 2.6443940; 0.2225572; 6.3349566; 0.9788789
5.9985110; -42.4986756; 23.5640627; 2.6878712; 0.2123988; 6.3657780; 1.3025346
6.1984613; -42.5825332; 23.3825624; 2.7293791; 0.2028481; 6.4065603; 1.5827387
6.3984117; -42.6589624; 23.1978098; 2.7690022; 0.1935363; 6.4557690; 1.8410229
6.5983621; -42.7281847; 23.0102366; 2.8068164; 0.1847494; 6.5125401; 2.0695764
6.7983124; -42.7904311; 22.8202334; 2.8429123; 0.1763393; 6.5757740; 2.2784856
6.9982628; -42.8459402; 22.6281528; 2.8773540; 0.1681995; 6.6446951; 2.4751660
7.1982132; -42.8949586; 22.4343133; 2.9101896; 0.1602683; 6.7187642; 2.6644988
7.3981635; -42.9377409; 22.2390018; 2.9414542; 0.1524811; 6.7975972; 2.8511760
7.5981139; -42.9745495; 22.0424761; 2.9711729; 0.1448026; 6.8809531; 3.0383351
7.7980643; -43.0056533; 21.8449664; 2.9993649; 0.1372069; 6.9686834; 3.2285502
7.9980146; -43.0313275; 21.6466771; 3.0260454; 0.1296803; 7.0607115; 3.4237519
8.1979650; -43.0518520; 21.4477882; 3.0512273; 0.1222146; 7.1570111; 3.6255552
8.3979154; -43.0675105; 21.2484566; 3.0749224; 0.1148058; 7.2575940; 3.8353702
8.5978657; -43.0785895; 21.0488175; 3.0971417; 0.1074512; 7.3625021; 4.0545302
8.7978161; -43.0853768; 20.8489860; 3.1178958; 0.1001489; 7.4718035; 4.2843632
8.9977665; -43.0881613; 20.6490581; 3.1371950; 0.0928969; 7.5855895; 4.5262427
9.1977168; -43.0872316; 20.4491125; -3.1281362; 0.0856928; 7.7039740; 4.7816273
9.3976672; -43.0828761; 20.2492118; -3.1117180; 0.0785340; 7.8270934; 5.0520763
9.5976176; -43.0753821; 20.0494038; -3.0967269; 0.0714170; 7.9551066; 1.7911435
9.7975679; -43.0650354; 19.8497228; -3.0831549; 0.0643386; 8.0000000; 0.0000000
9.9975183; -43.0521206; 19.6501912; -3.0709947; 0.0572950; 8.0000000; 0.0000000
10.1974687; -43.0369207; 19.4508204; -3.0602399; 0.0502800; 8.0000000; 0.0000000
10.3974190; -43.0197170; 19.2516122; -3.0508846; 0.0432970; 8.0000000; 0.0000000
10.5973694; -43.0007893; 19.0525603; -3.0429245; 0.0363238; 8.0000000; 0.0000000
10.7973198; -42.9804163; 18.8536509; -3.0363576; 0.0293623; 8.0000000; 0.0000000
10.9972701; -42.9588742; 18.6548645; -3.0311580; 0.0226475; 8.0000000; 0.0000000
11.1972205; -42.9364312; 18.4561778; -3.0272860; 0.0160819; 8.0000000; 0.0000000
11.3971708; -42.9133498; 18.2575642; -3.0247329; 0.0094541; 8.0000000; 0.0000000
11.5971212; -42.8898919; 18.0589946; -3.0234888; 0.0029896; 8.0000000; 0.0000000
11.7970716; -42.8663160; 17.8604390; -3.0235480; -0.0035829; 8.0000000; 0.0000000
11.9970219; -42.8428828; 17.6618665; -3.0249296; -0.0102389; 8.0000000; 0.0000000
12.1969723; -42.8198562; 17.4632466; -3.0276417; -0.0168910; 8.0000000; 0.0000000
12.3969227; -42.7975008; 17.2645500; -3.0316894; -0.0235974; 8.0000000; 0.0000000
12.5968730; -42.7760833; 17.0657502; -3.0370798; -0.0303229; 8.0000000; 0.0000000
12.7968234; -42.7558721; 16.8668243; -3.0438241; -0.0371394; 8.0000000; 0.0000000
