# 8b0740e2-c5ae-42ec-824c-da84991f97af
# 216c0333e5fcb3f8600ca28e6aa7276b99a75135
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; -37.4995999; 25.5851277; 1.5293411; 0.1647217; 7.1721078; -1.6394720
0.1999235; -37.6994522; 25.5901133; 1.5624187; 0.1662137; 7.1262607; -1.6699293
0.3998471; -37.8993597; 25.5884569; 1.5957949; 0.1677077; 7.0792567; -1.7052470
0.5997706; -38.0990990; 25.5800987; 1.6294991; 0.1694950; 7.0309344; -1.7296625
0.7996941; -38.2984403; 25.5649785; 1.6635677; 0.1713556; 6.9815784; -1.7550032
0.9996177; -38.4971464; 25.5430388; 1.6980278; 0.1734115; 6.9311402; -1.7751256
1.1995412; -38.6949724; 25.5142245; 1.7329143; 0.1756235; 6.8797475; -1.7922169
1.3994647; -38.8916646; 25.4784830; 1.7682611; 0.1780163; 6.8274675; -1.8052640
1.5993882; -39.0869601; 25.4357650; 1.8041053; 0.1806030; 6.7743991; -1.8137598
1.7993118; -39.2805858; 25.3860244; 1.8404860; 0.1833812; 6.7206590; -1.8159281
1.9992353; -39.4722577; 25.3292195; 1.8774444; 0.1863860; 6.6664206; -1.8068247
2.1991588; -39.6616797; 25.2653129; 1.9150273; 0.1896374; 6.6120126; -1.7868276
2.3990824; -39.8485423; 25.1942713; 1.9532948; 0.1932159; 6.5577627; -1.7576375
2.5990059; -40.0325212; 25.1160656; 1.9923036; 0.1970790; 6.5039577; -1.7219178
2.7989294; -40.2132761; 25.0306733; 2.0321073; 0.2011612; 6.4508110; -1.6700695
2.9988530; -40.3904502; 24.9380814; 2.0727704; 0.2056718; 6.3988429; -1.5986105
3.1987765; -40.5636667; 24.8382830; 2.1143823; 0.2106710; 6.3486999; -1.5143949
3.3987000; -40.7325264; 24.7312794; 2.1570251; 0.2159715; 6.3008304; -1.4026851
3.5986236; -40.8966077; 24.6170850; 2.2007866; 0.2218885; 6.2561653; -1.2698789
3.7985471; -41.0554620; 24.4957261; 2.2457733; 0.2282133; 6.2154523; -1.0892656
3.9984706; -41.2086119; 24.3672449; 2.2921203; 0.2355187; 6.1803161; -0.8802618
4.1983941; -41.3555431; 24.2316979; 2.3399662; 0.2432111; 6.1517751; -0.6079745
4.3983177; -41.4957079; 24.0891667; 2.3894558; 0.2520105; 6.1319850; -0.1873657
4.5982412; -41.6285026; 23.9397468; 2.4410124; 0.2637175; 6.1258732; -0.0836397
4.7981647; -41.7532815; 23.7835726; 2.4940553; 0.2667173; 6.1231430; -0.0836397
4.9980883; -41.8696530; 23.6210351; 2.5459287; 0.2523544; 6.1204115; 0.4633821
5.1980118; -41.9776860; 23.4528372; 2.5948798; 0.2375656; 6.1355292; 0.9729297
5.3979353; -42.0775916; 23.2796866; 2.6412951; 0.2268218; 6.1671502; 1.2882724
5.5978589; -42.1695456; 23.1021831; 2.6855901; 0.2163835; 6.2087723; 1.5726690
